Map,Name,Description,Class,Subclass,PMIDS
map00030,Pentose phosphate pathway,"The pentose phosphate pathway is a process of glucose turnover that produces NADPH as reducing equivalents and pentoses as essential parts of nucleotides. There are two different phases in the pathway. One is irreversible oxidative phase in which glucose-6P is converted to ribulose-5P by oxidative decarboxylation, and NADPH is generated [MD:M00006]. The other is reversible non-oxidative phase in which phosphorylated sugars are interconverted to generate xylulose-5P, ribulose-5P, and ribose-5P [MD:M00007]. Phosphoribosyl pyrophosphate (PRPP) formed from ribose-5P [MD:M00005] is an activated compound used in the biosynthesis of histidine and purine/pyrimidine nucleotides. This pathway map also shows the Entner-Doudoroff pathway where 6-P-gluconate is dehydrated and then cleaved into pyruvate and glyceraldehyde-3P [MD:M00008].",Metabolism, Carbohydrate metabolism,"['12700258', '16428816', '16458304', '16788179', '20023024', '23279921']"
map00040,Pentose and glucuronate interconversions,,Metabolism, Carbohydrate metabolism,"['10572115', '10913097', '11741871', '15697206', '15901685']"
map00053,Ascorbate and aldarate metabolism,,Metabolism, Carbohydrate metabolism,"['10517845', '12644495', '14996803', '15564123', '16595667', '17222174', '17462988']"
map00061,Fatty acid biosynthesis,,Metabolism, Lipid metabolism,"['11337402', '12061798', '12518017', '17573542', '19686777', '25203508', '27553474', '30201289']"
map00062,Fatty acid elongation,,Metabolism, Lipid metabolism,"['16564093', '16765910', '16866954', '17719534', '19649180', '4387390', '7150615', '8190743']"
map00071,Fatty acid degradation,,Metabolism, Lipid metabolism,['869535']
map00073,"Cutin, suberine and wax biosynthesis",,Metabolism, Lipid metabolism,"['16404574', '16866954', '17323080', '18440267', '18621978', '19344744', '19649180']"
map00074,Mycolic acid biosynthesis,"Mycolic acids are alpha-alkyl, beta-hydroxy long-chain fatty acids, which are essential components of the cell walls of mycobacteria and related bacteria such as Nocardia and Rhodococcus. The structures of mycolic acids are composed of a meromycolic chain and an alpha-branch. Functional groups and carbon chain lengths vary depending on the genus, species and strain levels of bacteria. Corynebacteria also synthesize mycolic acids, called corynomycolic acids, which are shorter and less modified than mycobacterial mycolic acids. In mycobacteria, the biosynthetic pathway starts with de novo synthesis and elongation of fatty acids by FAS I and FAS II, respectively. FAS II products undergo further elongation, desaturation and modification to produce meromycolic acids, while carboxylation of very-long-chain acyl-CoA further elongated by FAS I yields carboxyacyl-CoA (alpha-branch). Mycolic beta-ketoester formed by condensation of the activated meromycolic chain and the carboxylated acyl chain, upon reduction, leads to the mature mycolate, TMM (trehalose monomycolate). Mycolyltransferase (Ag85) then catalyzes the transfer of a mycolate from TMM to the cell wall arabinogalactan and to other TMMs to form mAGP and TDM (trehalose dimycolate), respectively.",Metabolism, Lipid metabolism,"['10200974', '12010501', '12055308', '12464486', '14695899', '15308633', '15653820', '17483212', '17804795', '18006503', '18703502', '20472794', '21204864', '22216317', '24113823', '24349169', '24374164', '25028517', '25467124', '26104214', '26538472', '27268593', '27741286', '28222482', '28859976', '29662082', '35484172', '35862962', '38501584', '8917504', '32034201', '32470138']"
map00100,Steroid biosynthesis,,Metabolism, Lipid metabolism,"['12777052', '16531502']"
map00120,Primary bile acid biosynthesis,"Bile acids are steroid carboxylic acids derived from cholesterol in vertebrates. The primary bile acids, cholic acid and chenodeoxycholic acid, are synthesized in the liver and conjugated with taurine or glycine before secretion via bile into the intestine. The conversion from cholesterol to cholic and chenodeoxycholic acids involves four steps: 1) the initiation of synthesis by 7alpha-hydroxylation of sterol precursors, 2) further modifications to the ring structures, 3) side-chain oxidation and shortening (cleavage) by three carbons, and 4) conjugation of the bile acid with taurine or glycine.",Metabolism, Lipid metabolism,"['10198776', '11067870', '12543708', '16299351', '17346171', '18081658', '18488143', '9292932']"
map00121,Secondary bile acid biosynthesis,"The secondary bile acids are derived from the primary bile acids by the enzymatic action of intestinal bacteria through the process of deconjugation and dehydroxylation. The secondary bile acids in humans include deoxycholic acid and lithocholic acid, formed from the 7alpha-dehydroxylation of cholic acid and chenodeoxycholic acid, respectively.",Metabolism, Lipid metabolism,"['16061950', '16299351', '18047844', '18488143', '19464381']"
map00130,Ubiquinone and other terpenoid-quinone biosynthesis,"Ubiquinone (UQ), also called coenzyme Q, and plastoquinone (PQ) are electron carriers in oxidative phosphorylation and photosynthesis, respectively. The quinoid nucleus of ubiquinone is derived from the shikimate pathway; 4-hydroxybenzoate is directly formed from chorismate in bacteria, while it can be formed from either chorismate or tyrosine in yeast. The following biosynthesis of terpenoid moiety involves reactions of prenylation, decarboxylation, and three hydroxylations alternating with three methylations. The order of these reactions are somewhat different between bacteria and yeast. Phylloquinone (vitamin K1), menaquinone (vitamin K2), and tocopherol (vitamin E) are fat-soluble vitamins. Phylloquinone is a compound present in all photosynthetic plants serving as a cofactor for photosystem I-mediated electron transport. Menaquinone is an obligatory component of the electron-transfer pathway in bacteria.",Metabolism, Metabolism of cofactors and vitamins,"['11470786', '11583838', '12232327', '12523993', '12615349', '12721307', '12908086', '14499605', '14508009', '16233343', '16989822', '17760421', '17956107', '18284213', '18801996', '21239697', '23113660']"
map00140,Steroid hormone biosynthesis,"Steroid hormones derived from cholesterol are a class of biologically active compounds in vertebrates. The cholesterol side-chain cleavage enzyme CYP11A1 catalyzes conversion of cholesterol, a C27 compound, to the first C21 steroid, pregnenolone, which is converted by a bifunctional enzyme complex to the gestagen hormone, progesterone [MD:M00107]. Pregnenolone and progesterone are the starting materials for the three groups of steroids: C21 steroids of glucocorticoids and mineralocorticoids, C19 steroids of androgens, and C18 steroids of estrogens. (i) Progesterone is converted by hydroxylations at carbons 21 and 11 to corticosterone, which is further modified by hydroxylation and oxydoreduction at carbon 18 to yield aldosterone, a mineralcorticoid [MD:M00108]. Cortisol, the main glucocorticoid, is formed from 17alpha-hydroxyprogesterone with 11-deoxycortisol as an intermediate [MD:M00109]. (ii) Male hormone testosterone is formed from pregnenolone by two pathways, delta5 pathway via dehydroepiandrosterone and delta4 pathway via androstenedione [MD:M00110]. The enzyme CYP17A1 is responsible for the 17,20 lyase and 17alpha-hydroxylase activities in respective pathways. (iii) Female hormones estrone and estradiol are formed from testosterone and 4-androstene-3,17-dione by oxidative removal of the C19 methyl group and subsequent aromatization of ring A. In addition to these three groups, recent studies show that there is another group, termed neurosteroids, synthesized in the brain rather than the peripheral endocrine gland.",Metabolism, Lipid metabolism,"['10998348', '11469811', '12604236', '12832414', '15642792', '16413106', '16547389', '17459698', '17475203', '17926129']"
map00190,Oxidative phosphorylation,,Metabolism, Energy metabolism,"['16469879', '16584177']"
map00195,Photosynthesis,"Photosynthesis in green plants and specialized bacteria is the process of utilizing light energy to synthesize organic compounds from carbon dioxide and water. It consists of the light dependent part (light reaction) and the light independent part (dark reaction, carbon fixation). The light reaction takes place in thylakoid, a membrane-bound compartment inside chloroplasts and cyanobacteria. The light energy is used by photosystems I and II to generate proton motive force and reducing power (NADPH or NADH). The proton motive force is used by ATP synthase to generate ATP, essentially in the same way as the mitochondrial respiratory chain. The supplies of ATP and NAD(P)H are then used to fix carbon dioxide.",Metabolism, Energy metabolism,"['11217865', '11369223', '11418848', '11914373', '12518057', '14764885']"
map00196,Photosynthesis - antenna proteins,"The chlorophyll-binding subunits of photosystems I and II are internal antenna light-harvesting proteins of oxygenic photosynthesis. The antenna proteins that exist in phycobilisomes in cyanobacteria and light-harvesting chlorophyll protein complexes in green plants act as peripheral antenna systems, enabling more efficient absorption of light energy.",Metabolism, Energy metabolism,"['10625426', '14668855', '15955818', '15994896', '16098971', '16401064']"
map00230,Purine metabolism,,Metabolism, Nucleotide metabolism,"['10601204', '10986234']"
map00232,Caffeine metabolism,,Metabolism, Biosynthesis of other secondary metabolites,"['11393735', '11544129', '14977550', '16333668', '9705852']"
map00250,"Alanine, aspartate and glutamate metabolism",,Metabolism, Amino acid metabolism,['9687539']
map00253,Tetracycline biosynthesis,"Tetracyclines are aromatic polyketide antibiotics produced by Streptomyces species via type II polyketide synthases (PKSs). Tetracyclines contain a linear tetracyclic skeleton, which is formed from a malonamate starter unit and malonyl-CoA extender units through a common polyketide pathway [MD:M00778]. This diagram shows biosynthesis of naturally occurring tetracyclines (tetracycline, oxytetracycline and chlortetracycline) via a common intermediate anhydrotetracycline [MD:M00780 M00823].",Metabolism, Metabolism of terpenoids and polyketides,"['10551844', '1134373', '1134374', '15452119', '16148009', '16597959', '16959966', '17631493', '18422316', '19472250', '20522541', '23621493', '23800859', '7612997', '8163168']"
map00254,Aflatoxin biosynthesis,,Metabolism, Biosynthesis of other secondary metabolites,"['15022028', '15932995', '19211038', '20332208', '22069531', '23202305']"
