id,name,reactants,products,modifiers
rnR07911,['UDP-alpha-D-glucose:delphinidin-3-O-beta-D-glucoside 5-O-glucosyltransferase'],"[['Delphinidin 3-O-glucoside', 'Mirtillin', 'Delphinidin 3-glucoside', 'Delphinidin 3-O-beta-D-glucoside']]","[['Delphinidin 3,5-diglucoside', 'Delphin']]","[['anthocyanidin 3-O-glucoside 5-O-glucosyltransferase', 'UDP-glucose:anthocyanin 5-O-glucosyltransferase']]"
rnR06547,['UDP-alpha-D-glucose:cyanidin-3-O-(6-O-p-coumaroyl)glucoside 5-O-glucosyltransferase'],[['Cyanidin 3-O-(6-O-p-coumaroyl)glucoside']],"[['Cyanidin 3-O-(6-O-p-coumaroyl)glucoside-5-O-glucoside', 'Shisonin']]","[['anthocyanidin 3-O-glucoside 5-O-glucosyltransferase', 'UDP-glucose:anthocyanin 5-O-glucosyltransferase']]"
rnR06546,['UDP-alpha-D-glucose:cyanidin-3-O-beta-D-glucoside 5-O-glucosyltransferase'],"[['Cyanidin 3-O-glucoside', 'Chrysanthemin', 'Cyanidin 3-O-beta-D-glucoside']]","[['Cyanidin 3,5-O-diglucoside', 'Cyanin', 'Cyanidin 3,5-di-O-glucoside', 'Cyanidin 3,5-di-O-beta-D-glucoside']]","[['anthocyanidin 3-O-glucoside 5-O-glucosyltransferase', 'UDP-glucose:anthocyanin 5-O-glucosyltransferase']]"
rnR07879,"[""UDP-alpha-D-glucose:delphinidin-3-O-glucoside 2''-O-glucosyltransferase""]","[['Delphinidin 3-O-glucoside', 'Mirtillin', 'Delphinidin 3-glucoside', 'Delphinidin 3-O-beta-D-glucoside']]",[['Delphinidin 3-O-sophoroside']],"[[""anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase"", '3GGT']]"
rnR07878,"[""UDP-alpha-D-glucose:cyanidin 3-O-glucoside 2''-O-glucosyltransferase""]","[['Cyanidin 3-O-glucoside', 'Chrysanthemin', 'Cyanidin 3-O-beta-D-glucoside']]",[['Cyanidin 3-O-sophoroside']],"[[""anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase"", '3GGT']]"
rnR07932,['UDP-alpha-D-glucuronate:cyanidin-3-O-(6-O-malonyl-beta-D-glucoside) 2-O-beta-D-glucuronosyltransferase'],"[['Cyanidin 3-O-(6-O-malonyl-beta-D-glucoside)', ""Cyanidin 3-O-(6'-O-malonylglucoside)"", ""Cyanidin-3-(6'-malonylglucoside)""]]","[[""Cyanidin-3-O-(6''-O-malonyl-2''-O-glucuronyl)glucoside""]]","[[""cyanidin-3-O-glucoside 2''-O-glucuronosyltransferase"", 'BpUGT94B1', 'UDP-glucuronic acid:anthocyanin glucuronosyltransferase', ""UDP-glucuronic acid:anthocyanidin 3-glucoside 2'-O-beta-glucuronosyltransferase"", 'BpUGAT', 'UDP-D-glucuronate:cyanidin-3-O-beta-glucoside 2-O-beta-glucuronosyltransferase']]"
rnR07923,"[""UDP-glucose:anthocyanin 3'-O-beta-D-glucosyltransferase""]",[['Delphinidin 3-glucoside 5-caffoyl-glucoside']],"[['Albireodelphin', ""Delphinidin 3,3'-diglucoside 5-(6-caffeoyl)glucoside""]]","[[""delphinidin 3,5-di-O-glucoside 3'-O-glucosyltransferase"", ""UDP-glucose:anthocyanin 3'-O-glucosyltransferase"", ""3'GT""]]"
rnR07912,"[""UDP-glucose:anthocyanin 3'-O-beta-D-glucosyltransferase""]","[['Delphinidin 3,5-diglucoside', 'Delphin']]","[[""Delphinidin 3,5,3'-triglucoside""]]","[[""delphinidin 3,5-di-O-glucoside 3'-O-glucosyltransferase"", ""UDP-glucose:anthocyanin 3'-O-glucosyltransferase"", ""3'GT""]]"
rnR07914,"[""UDP-glucose:delphinidin 3-O-(6''-O-malonyl)-beta-D-glucoside-3'-O-beta-D-glucoside 5'-O-glucosyltransferase""]","[[""Delphinidin 3-O-(6''-O-malonyl)-beta-glucoside-3'-O-beta-glucoside"", ""Delphinidin 3-O-(6''-O-malonyl)-beta-D-glucoside-3'-O-beta-D-glucoside""]]","[['Ternatin C5', ""Delphinidin 3-O-(6''-O-malonyl)-beta-D-glucoside-3',5'-di-O-beta-D-glucoside""]]","[[""delphinidin 3',5'-O-glucosyltransferase"", ""UDP-glucose:anthocyanin 3',5'-O-glucosyltransferase"", ""UA3'5'GZ""]]"
rnR07913,"[""UDP-glucose:delphinidin 3'-O-beta-D-glucosyltransferase""]","[[""Delphinidin 3-O-(6''-O-malonyl)-beta-D-glucoside""]]","[[""Delphinidin 3-O-(6''-O-malonyl)-beta-glucoside-3'-O-beta-glucoside"", ""Delphinidin 3-O-(6''-O-malonyl)-beta-D-glucoside-3'-O-beta-D-glucoside""]]","[[""delphinidin 3',5'-O-glucosyltransferase"", ""UDP-glucose:anthocyanin 3',5'-O-glucosyltransferase"", ""UA3'5'GZ""], [""delphinidin 3,5-di-O-glucoside 3'-O-glucosyltransferase"", ""UDP-glucose:anthocyanin 3'-O-glucosyltransferase"", ""3'GT""]]"
