id,name,reactants,products,modifiers
rnR05320,"['taurine,2-oxoglutarate:O2 oxidoreductase (sulfite-forming)']","[['Taurine', '2-Aminoethanesulfonic acid', 'Aminoethylsulfonic acid']]","[['Aminoacetaldehyde', '2-Aminoacetaldehyde'], ['Sulfite', 'Sulfurous acid']]",[]
rnR06981,['isethionate:ferricytochrome-c oxidoreductase'],"[['2-Hydroxyethanesulfonate', '2-Hydroxyethanesulfonic acid', '2-Hydroxyethane-1-sulfonic acid', 'Isethionic acid', 'Isethionate']]","[['Sulfoacetaldehyde', '2-Sulfoacetaldehyde', '2-Oxoethanesulfonate']]",[]
rnR00396,['L-alanine:NAD+ oxidoreductase (deaminating)'],"[['L-Alanine', 'L-2-Aminopropionic acid', 'L-alpha-Alanine']]","[['Pyruvate', 'Pyruvic acid', '2-Oxopropanoate', '2-Oxopropanoic acid', 'Pyroracemic acid']]",[]
rnR00230,['acetyl-CoA:phosphate acetyltransferase'],"[['Acetyl-CoA', 'Acetyl coenzyme A']]",[['Acetyl phosphate']],[]
rnR05651,"['acetyl-phosphate:sulfite S-acetyltransferase (acyl-phosphate hydrolysing, 2-oxoethyl-forming)']","[['Sulfoacetaldehyde', '2-Sulfoacetaldehyde', '2-Oxoethanesulfonate']]","[['Acetyl phosphate'], ['Sulfite', 'Sulfurous acid']]",[]
rnR05652,['taurine:pyruvate aminotransferase'],"[['Taurine', '2-Aminoethanesulfonic acid', 'Aminoethylsulfonic acid'], ['Pyruvate', 'Pyruvic acid', '2-Oxopropanoate', '2-Oxopropanoic acid', 'Pyroracemic acid']]","[['Sulfoacetaldehyde', '2-Sulfoacetaldehyde', '2-Oxoethanesulfonate'], ['L-Alanine', 'L-2-Aminopropionic acid', 'L-alpha-Alanine']]",[]
rnR01685,['taurine:ferricytochrome-c oxidoreductase (deaminating)'],"[['Taurine', '2-Aminoethanesulfonic acid', 'Aminoethylsulfonic acid']]","[['Sulfoacetaldehyde', '2-Sulfoacetaldehyde', '2-Oxoethanesulfonate']]",[]
rnR03785,['ATP:taurocyamine N-phosphotransferase'],[['Taurocyamine']],"[['N-Phosphotaurocyamine', 'Taurocyamine phosphate', 'N(omega)-Phosphotaurocyamine']]",[]
rnR01682,['3-sulfo-L-alanine carboxy-lyase (taurine-forming)'],"[['L-Cysteate', 'L-Cysteic acid', '3-Sulfoalanine', '2-Amino-3-sulfopropionic acid']]","[['Taurine', '2-Aminoethanesulfonic acid', 'Aminoethylsulfonic acid']]",[]
rnR00901,"['L-cysteine hydrogen-sulfide-lyase (adding sulfite', 'L-cysteate-forming)']","[['L-Cysteine', 'L-2-Amino-3-mercaptopropionic acid']]","[['L-Cysteate', 'L-Cysteic acid', '3-Sulfoalanine', '2-Amino-3-sulfopropionic acid']]",[]
rnR12959,[],"[['Hypotaurine', '2-Aminoethanesulfinic acid']]","[['Taurine', '2-Aminoethanesulfonic acid', 'Aminoethylsulfonic acid']]",[]
rnR00893,['L-cysteine:oxygen oxidoreductase'],"[['L-Cysteine', 'L-2-Amino-3-mercaptopropionic acid']]","[['3-Sulfino-L-alanine', 'L-Cysteinesulfinic acid', '3-Sulphino-L-alanine', '3-Sulfinoalanine']]",[]
rnR02467,['cysteamine:oxygen oxidoreductase'],"[['Cysteamine', '2-Aminoethanethiol', 'beta-Aminoethanethiol', 'beta-Mercaptoethylamine', 'Mercaptamine', 'Thioethanolamine']]","[['Hypotaurine', '2-Aminoethanesulfinic acid']]",[]
rnR02466,['3-sulfino-L-alanine carboxy-lyase'],"[['3-Sulfino-L-alanine', 'L-Cysteinesulfinic acid', '3-Sulphino-L-alanine', '3-Sulfinoalanine']]","[['Hypotaurine', '2-Aminoethanesulfinic acid']]",[]
rnR01687,['(5-L-glutamyl)-peptide:taurine 5-glutamyltransferase'],"[['Taurine', '2-Aminoethanesulfonic acid', 'Aminoethylsulfonic acid']]","[['5-L-Glutamyl-taurine', '5-Glutamyl-taurine', 'Glutaurine']]",[]
rnR03720,['choloyl-CoA:glycine N-choloyltransferase'],"[['Taurine', '2-Aminoethanesulfonic acid', 'Aminoethylsulfonic acid']]","[['Taurocholate', 'Taurocholic acid', 'Cholyltaurine']]",[]
