id,name
C00001,"['H2O', 'Water']"
C00002,"['ATP', ""Adenosine 5'-triphosphate""]"
C00003,"['NAD+', 'NAD', 'Nicotinamide adenine dinucleotide', 'DPN', 'Diphosphopyridine nucleotide', 'Nadide', 'beta-NAD+']"
C00004,"['NADH', 'DPNH', 'Reduced nicotinamide adenine dinucleotide']"
C00005,"['NADPH', 'TPNH', 'Reduced nicotinamide adenine dinucleotide phosphate']"
C00006,"['NADP+', 'NADP', 'Nicotinamide adenine dinucleotide phosphate', 'beta-Nicotinamide adenine dinucleotide phosphate', 'TPN', 'Triphosphopyridine nucleotide', 'beta-NADP+']"
C00007,"['Oxygen', 'O2']"
C00008,"['ADP', ""Adenosine 5'-diphosphate""]"
C00009,"['Orthophosphate', 'Phosphate', 'Phosphoric acid', 'Orthophosphoric acid']"
C00010,"['CoA', 'Coenzyme A', 'CoA-SH']"
C00011,"['CO2', 'Carbon dioxide']"
C00012,['Peptide']
C00013,"['Diphosphate', 'Diphosphoric acid', 'Pyrophosphate', 'Pyrophosphoric acid', 'PPi']"
C00014,"['Ammonia', 'NH3']"
C00015,"['UDP', ""Uridine 5'-diphosphate""]"
C00016,"['FAD', 'Flavin adenine dinucleotide']"
C00017,['Protein']
C00018,"['Pyridoxal phosphate', ""Pyridoxal 5'-phosphate"", 'Pyridoxal 5-phosphate', 'PLP']"
C00019,"['S-Adenosyl-L-methionine', 'S-Adenosylmethionine', 'AdoMet', 'SAM']"
C00020,"['AMP', ""Adenosine 5'-monophosphate"", 'Adenylic acid', 'Adenylate', ""5'-AMP"", ""5'-Adenylic acid"", ""5'-Adenosine monophosphate"", ""Adenosine 5'-phosphate""]"
C00021,"['S-Adenosyl-L-homocysteine', 'S-Adenosylhomocysteine']"
C00022,"['Pyruvate', 'Pyruvic acid', '2-Oxopropanoate', '2-Oxopropanoic acid', 'Pyroracemic acid']"
C00023,['Iron']
C00024,"['Acetyl-CoA', 'Acetyl coenzyme A']"
C00025,"['L-Glutamate', 'L-Glutamic acid', 'L-Glutaminic acid', 'Glutamate']"
C00026,"['2-Oxoglutarate', 'Oxoglutaric acid', '2-Ketoglutaric acid', 'alpha-Ketoglutaric acid']"
C00027,"['Hydrogen peroxide', 'H2O2', 'Oxydol']"
C00028,"['Acceptor', 'Hydrogen-acceptor', 'A', 'Oxidized donor']"
C00029,"['UDP-glucose', 'UDPglucose', 'UDP-D-glucose', 'Uridine diphosphate glucose', 'UDP-alpha-D-glucose']"
C00030,"['Reduced acceptor', 'AH2', 'Hydrogen-donor', 'Donor']"
C00031,"['D-Glucose', 'Grape sugar', 'Dextrose', 'Glucose', 'D-Glucopyranose']"
C00032,"['Heme', 'Haem', 'Protoheme', 'Heme B', 'Protoheme IX']"
C00033,"['Acetate', 'Acetic acid', 'Ethanoic acid']"
C00034,['Manganese']
C00035,"['GDP', ""Guanosine 5'-diphosphate"", 'Guanosine diphosphate']"
C00036,"['Oxaloacetate', 'Oxalacetic acid', 'Oxaloacetic acid', '2-Oxobutanedioic acid', '2-Oxosuccinic acid', 'keto-Oxaloacetate']"
C00037,"['Glycine', 'Aminoacetic acid', 'Gly']"
C00038,"['Zinc cation', 'Zn2+', 'Zn(II)', 'Zinc ion']"
C00039,"['DNA', 'DNAn', 'DNAn+1', '(Deoxyribonucleotide)n', '(Deoxyribonucleotide)m', '(Deoxyribonucleotide)n+m', 'Deoxyribonucleic acid']"
C00040,"['Acyl-CoA', 'Acyl coenzyme A']"
C00041,"['L-Alanine', 'L-2-Aminopropionic acid', 'L-alpha-Alanine']"
C00042,"['Succinate', 'Succinic acid', 'Butanedionic acid', 'Ethylenesuccinic acid']"
