id,name
1.1.1.1,"['alcohol dehydrogenase', 'aldehyde reductase', 'ADH', 'alcohol dehydrogenase (NAD)', 'aliphatic alcohol dehydrogenase', 'ethanol dehydrogenase', 'NAD-dependent alcohol dehydrogenase', 'NAD-specific aromatic alcohol dehydrogenase', 'NADH-alcohol dehydrogenase', 'NADH-aldehyde dehydrogenase', 'primary alcohol dehydrogenase', 'yeast alcohol dehydrogenase']"
1.1.1.2,"['alcohol dehydrogenase (NADP+)', 'aldehyde reductase (NADPH2)', 'NADP-alcohol dehydrogenase', 'NADP+-aldehyde reductase', 'NADP+-dependent aldehyde reductase', 'NADPH-aldehyde reductase', 'NADPH-dependent aldehyde reductase', 'nonspecific succinic semialdehyde reductase', 'ALR 1', 'low-Km aldehyde reductase', 'high-Km aldehyde reductase', 'alcohol dehydrogenase (NADP)']"
1.1.1.3,"['homoserine dehydrogenase', 'HSDH', 'HSD']"
1.1.1.4,"['(R,R)-butanediol dehydrogenase', 'butyleneglycol dehydrogenase', 'D-butanediol dehydrogenase', 'D-(-)-butanediol dehydrogenase', 'butylene glycol dehydrogenase', 'diacetyl (acetoin) reductase', 'D-aminopropanol dehydrogenase', '1-amino-2-propanol dehydrogenase', '2,3-butanediol dehydrogenase', 'D-1-amino-2-propanol dehydrogenase', '(R)-diacetyl reductase', '(R)-2,3-butanediol dehydrogenase', 'D-1-amino-2-propanol:NAD+ oxidoreductase', '1-amino-2-propanol oxidoreductase', 'aminopropanol oxidoreductase']"
1.1.1.5,"['diacetyl reductase [(R)-acetoin forming]', '(R)-acetoin dehydrogenase']"
1.1.1.6,"['glycerol dehydrogenase', 'glycerin dehydrogenase', 'NAD+-linked glycerol dehydrogenase']"
1.1.1.7,"['propanediol-phosphate dehydrogenase', 'PDP dehydrogenase', '1,2-propanediol-1-phosphate:NAD+ oxidoreductase', 'propanediol phosphate dehydrogenase']"
1.1.1.8,"['glycerol-3-phosphate dehydrogenase (NAD+)', 'alpha-glycerol phosphate dehydrogenase (NAD+)', 'alpha-glycerophosphate dehydrogenase (NAD+)', 'glycerol 1-phosphate dehydrogenase', 'glycerol phosphate dehydrogenase (NAD+)', 'glycerophosphate dehydrogenase (NAD+)', 'hydroglycerophosphate dehydrogenase', 'L-alpha-glycerol phosphate dehydrogenase', 'L-alpha-glycerophosphate dehydrogenase', 'L-glycerol phosphate dehydrogenase', 'L-glycerophosphate dehydrogenase (ambiguous)', 'NAD+-alpha-glycerophosphate dehydrogenase', 'NAD+-dependent glycerol phosphate dehydrogenase', 'NAD+-dependent glycerol-3-phosphate dehydrogenase', 'NAD+-L-glycerol-3-phosphate dehydrogenase', 'NAD+-linked glycerol 3-phosphate dehydrogenase', 'NADH-dihydroxyacetone phosphate reductase', 'glycerol-3-phosphate dehydrogenase (NAD+)', 'L-glycerol-3-phosphate dehydrogenase (ambiguous)']"
1.1.1.9,"['D-xylulose reductase', 'NAD+-dependent xylitol dehydrogenase', 'xylitol dehydrogenase (ambiguous)', 'erythritol dehydrogenase', '2,3-cis-polyol(DPN) dehydrogenase (C3-5)', 'pentitol-DPN dehydrogenase (ambiguous)', 'xylitol-2-dehydrogenase']"
1.1.1.10,"['L-xylulose reductase', 'xylitol dehydrogenase (ambiguous)']"
1.1.1.11,"['D-arabinitol 4-dehydrogenase', 'D-arabitol dehydrogenase', 'arabitol dehydrogenase']"
1.1.1.12,"['L-arabinitol 4-dehydrogenase', 'pentitol-DPN dehydrogenase (ambiguous)', 'L-arabitol dehydrogenase']"
1.1.1.13,"['L-arabinitol 2-dehydrogenase', 'L-arabinitol dehydrogenase (ribulose-forming)', 'L-arabinitol (ribulose-forming) dehydrogenase']"
1.1.1.14,"['L-iditol 2-dehydrogenase', 'polyol dehydrogenase', 'sorbitol dehydrogenase', 'L-iditol:NAD+ 5-oxidoreductase', 'L-iditol (sorbitol) dehydrogenase', 'glucitol dehydrogenase', 'L-iditol:NAD+ oxidoreductase', 'NAD+-dependent sorbitol dehydrogenase', 'NAD+-sorbitol dehydrogenase']"
1.1.1.15,"['D-iditol 2-dehydrogenase', 'D-sorbitol dehydrogenase']"
1.1.1.16,"['galactitol 2-dehydrogenase', 'dulcitol dehydrogenase', 'AtuSorbD (gene name)', 'galactitol:NAD+ 2-oxidoreductase']"
1.1.1.17,"['mannitol-1-phosphate 5-dehydrogenase', 'hexose reductase', 'mannitol 1-phosphate dehydrogenase', 'D-mannitol-1-phosphate dehydrogenase', 'fructose 6-phosphate reductase']"
1.1.1.18,"['inositol 2-dehydrogenase', 'myo-inositol 2-dehydrogenase', 'myo-inositol:NAD+ oxidoreductase', 'inositol dehydrogenase', 'myo-inositol dehydrogenase']"
