PMID,Title,DOI,Abstract
10037752,The Saccharomyces cerevisiae protein Mnn10p/Bed1p is a subunit of a Golgi mannosyltransferase complex.,10.1074/jbc.274.10.6579,"In the yeast Saccharomyces cerevisiae many of the N-linked glycans on cell wall and periplasmic proteins are modified by the addition of mannan, a large mannose-containing polysaccharide. Mannan comprises a backbone of approximately 50 alpha-1,6-linked mannoses to which are attached many branches consisting of alpha-1,2-linked and alpha-1,3-linked mannoses. The initiation and subsequent elongation of the mannan backbone is performed by two complexes of proteins in the cis Golgi. In this study we show that the product of the MNN10/BED1 gene is a component of one of these complexes, that which elongates the backbone. Analysis of interactions between the proteins in this complex shows that Mnn10p, and four previously characterized proteins (Anp1p, Mnn9p, Mnn11p, and Hoc1p) are indeed all components of the same large structure. Deletion of either Mnn10p, or its homologue Mnn11p, results in defects in mannan synthesis in vivo, and analysis of the enzymatic activity of the complexes isolated from mutant strains suggests that Mnn10p and Mnn11p are responsible for the majority of the alpha-1, 6-polymerizing activity of the complex."
10092508,Cloning and expression of a novel lysophospholipase which structurally resembles lecithin cholesterol acyltransferase.,10.1006/bbrc.1999.0411,"Lecithin cholesterol acyltransferase (LCAT) is the key enzyme in the esterification of plasma cholesterol and in the reverse cholesterol transport on high-density lipoprotein (HDL). We have found a novel LCAT-related gene among differentially expressed cDNA fragments between two types of foam cells derived from THP-1 cells, which are different in cholesterol efflux ability, using a subtractive PCR technique. The deduced 412-amino-acid sequence has 49% amino acid sequence similarity with human LCAT. In contrast to the liver-specific expression of LCAT, mRNA expression of the gene was observed mainly in peripheral tissues including kidney, placenta, pancreas, testis, spleen, heart, and skeletal muscle. The protein exists in human plasma and is probably associated with HDL. Moreover, we discovered that the recombinant protein hydrolyzed lysophosphatidylcholine (lysoPC), a proatherogenic lipid, to glycerophosphorylcholine and a free fatty acid. We have therefore named this novel enzyme LCAT-like lysophospholipase (LLPL), through which a new catabolic pathway for lysoPC on lipoproteins could be elucidated."
10198776,Regulation of bile acid biosynthesis.,10.1016/s0889-8553(05)70041-8,This article provides a review of the pathways through which cholesterol is degraded to bile acids. Regulation of key enzymes in the bile acid biosynthestic pathways is discussed. The important role of these pathways in the maintenance of cholesterol homeostasis and the possible therapeutic implications for the treatment of hypercholesterolemia are emphasized.
10207017,"Molecular cloning and functional expression of two members of mouse NeuAcalpha2,3Galbeta1,3GalNAc GalNAcalpha2,6-sialyltransferase family, ST6GalNAc III and IV.",10.1074/jbc.274.17.11958,"Two cDNA clones encoding NeuAcalpha2,3Galbeta1,3GalNAc GalNAcalpha2, 6-sialyltransferase have been isolated from mouse brain cDNA libraries. One of the cDNA clones is a homologue of previously reported rat ST6GalNAc III according to the amino acid sequence identity (94.4%) and the substrate specificity of the expressed recombinant enzyme, while the other cDNA clone includes an open reading frame coding for 302 amino acids. The deduced amino acid sequence is not identical to those of other cloned mouse sialyltransferases, although it shows the highest sequence similarity with mouse ST6GalNAc III (43.0%). The expressed soluble recombinant enzyme exhibited activity toward NeuAcalpha2, 3Galbeta1, 3GalNAc, fetuin, and GM1b, while no significant activity was detected toward Galbeta1,3GalNAc or asialofetuin, or the other glycoprotein substrates tested. The sialidase sensitivity of the 14C-sialylated residue of fetuin, which was sialylated by this enzyme with CMP-[14C]NeuAc, was the same as that of ST6GalNAc III. These results indicate that the expressed enzyme is a new type of GalNAcalpha2,6-sialyltransferase, which requires sialic acid residues linked to Galbeta1,3GalNAc residues for its activity; therefore, we designated it mouse ST6GalNAc IV. Although the substrate specificity of this enzyme is similar to that of ST6GalNAc III, ST6GalNAc IV prefers O-glycans to glycolipids. Glycolipids, however, are better substrates for ST6GalNAc III."
10217426,Native acridone synthases I and II from Ruta graveolens L. form homodimers.,10.1016/s0014-5793(99)00355-5,"Acridone synthase II cDNA was cloned from irradiated cell suspension cultures of Ruta graveolens L. and expressed in Escherichia coli. The translated polypeptide of Mr 42,681 revealed a high degree of similarity to heterologous chalcone and stilbene synthases (70-75%), and the sequence was 94% identical to that of acridone synthase I cloned previously from elicited Ruta cells. Highly active recombinant acridone synthases I and II were purified to apparent homogeneity by a four-step purification protocol, and the affinities to N-methylanthraniloyl-CoA and malonyl-CoA were determined. The molecular mass of acridone synthase II was estimated from size exclusion chromatography on a Fractogel EMD BioSEC (S) column at about 45 kDa, as compared to a mass of 44 +/- 3 kDa found for the acridone synthase I on Superdex 75. Nevertheless, the sedimentation analysis by ultracentrifugation revealed molecular masses of 81 +/- 4 kDa for both acridone synthases. It is proposed, therefore, that the acridone synthases of Ruta graveolens are typical homodimeric plant polyketide synthases."
10224006,Rhodococcus erythropolis DCL14 contains a novel degradation pathway for limonene.,10.1128/AEM.65.5.2092-2102.1999,"Strain DCL14, which is able to grow on limonene as a sole source of carbon and energy, was isolated from a freshwater sediment sample. This organism was identified as a strain of Rhodococcus erythropolis by chemotaxonomic and genetic studies. R. erythropolis DCL14 also assimilated the terpenes limonene-1,2-epoxide, limonene-1,2-diol, carveol, carvone, and (-)-menthol, while perillyl alcohol was not utilized as a carbon and energy source. Induction tests with cells grown on limonene revealed that the oxygen consumption rates with limonene-1,2-epoxide, limonene-1,2-diol, 1-hydroxy-2-oxolimonene, and carveol were high. Limonene-induced cells of R. erythropolis DCL14 contained the following four novel enzymatic activities involved in the limonene degradation pathway of this microorganism: a flavin adenine dinucleotide- and NADH-dependent limonene 1, 2-monooxygenase activity, a cofactor-independent limonene-1, 2-epoxide hydrolase activity, a dichlorophenolindophenol-dependent limonene-1,2-diol dehydrogenase activity, and an NADPH-dependent 1-hydroxy-2-oxolimonene 1,2-monooxygenase activity. Product accumulation studies showed that (1S,2S,4R)-limonene-1,2-diol, (1S, 4R)-1-hydroxy-2-oxolimonene, and (3R)-3-isopropenyl-6-oxoheptanoate were intermediates in the (4R)-limonene degradation pathway. The opposite enantiomers [(1R,2R,4S)-limonene-1,2-diol, (1R, 4S)-1-hydroxy-2-oxolimonene, and (3S)-3-isopropenyl-6-oxoheptanoate] were found in the (4S)-limonene degradation pathway, while accumulation of (1R,2S,4S)-limonene-1,2-diol from (4S)-limonene was also observed. These results show that R. erythropolis DCL14 metabolizes both enantiomers of limonene via a novel degradation pathway that starts with epoxidation at the 1,2 double bond forming limonene-1,2-epoxide. This epoxide is subsequently converted to limonene-1,2-diol, 1-hydroxy-2-oxolimonene, and 7-hydroxy-4-isopropenyl-7-methyl-2-oxo-oxepanone. This lactone spontaneously rearranges to form 3-isopropenyl-6-oxoheptanoate. In the presence of coenzyme A and ATP this acid is converted further, and this finding, together with the high levels of isocitrate lyase activity in extracts of limonene-grown cells, suggests that further degradation takes place via the beta-oxidation pathway."
10225425,Vitamin B6 biosynthesis: formation of pyridoxine 5'-phosphate from 4-(phosphohydroxy)-L-threonine and 1-deoxy-D-xylulose-5-phosphate by PdxA and PdxJ protein.,10.1016/s0014-5793(99)00393-2,"In Escherichia coli the coenzyme pyridoxal 5'-phosphate (PLP) is synthesised de novo by a pathway that is thought to involve the condensation of 4-(phosphohydroxy)-L-threonine and 1-deoxy-D-xylulose, catalysed by the enzymes PdxA and PdxJ, to form either pyridoxine (vitamin B6) or pyridoxine 5'-phosphate (PNP). Here we show that incubation of PdxJ with PdxA, 4-(phosphohydroxy)-L-threonine, NAD and 1-deoxy-D-xylulose-5-phosphate, but not 1-deoxy-D-xylulose, results in the formation of PNP. The PNP formed was characterised by (i) cochromatography with an authentic standard, (ii) conversion to pyridoxine by alkaline phosphatase treatment, and (iii) UV and fluorescence spectroscopy. Furthermore, when [2-(14)C]1-deoxy-D-xylulose-5-phosphate was used as a substrate, the radioactivity was incorporated into PNP. These results clarify the previously unknown role of PdxJ in the de novo PLP biosynthetic pathway. The sugar used as substrate by PdxJ is 1-deoxy-D-xylulose-5-phosphate rather than the previously assumed 1-deoxy-D-xylulose. The first vitamin B6 vitamer synthesised is PNP, and not pyridoxine."
10318803,"The tumor suppressor EXT-like gene EXTL2 encodes an alpha1, 4-N-acetylhexosaminyltransferase that transfers N-acetylgalactosamine and N-acetylglucosamine to the common glycosaminoglycan-protein linkage region. The key enzyme for the chain initiation of heparan sulfate.",10.1074/jbc.274.20.13933,"We previously demonstrated a unique alpha-N-acetylgalactosaminyltransferase that transferred N-acetylgalactosamine (GalNAc) to the tetrasaccharide-serine, GlcAbeta1-3Galbeta1-3Galbeta1-4Xylbeta1-O-Ser (GlcA represents glucuronic acid), derived from the common glycosaminoglycan-protein linkage region, through an alpha1,4-linkage. In this study, we purified the enzyme from the serum-free culture medium of a human sarcoma cell line. Peptide sequence analysis of the purified enzyme revealed 100% identity to the multiple exostoses-like gene EXTL2/EXTR2, a member of the hereditary multiple exostoses (EXT) gene family of tumor suppressors. The expression of a soluble recombinant form of the protein produced an active enzyme, which transferred alpha-GalNAc from UDP-[3H]GalNAc to various acceptor substrates including GlcAbeta1-3Galbeta1-3Galbeta1-4Xylbeta1-O-Ser. Interestingly, the enzyme also catalyzed the transfer of N-acetylglucosamine (GlcNAc) from UDP-[3H]GlcNAc to GlcAbeta1-3Galbeta1-O-naphthalenemethanol, which was the acceptor substrate for the previously described GlcNAc transferase I involved in the biosynthetic initiation of heparan sulfate. The GlcNAc transferase reaction product was sensitive to the action of heparitinase I, establishing the identity of the enzyme to be alpha1, 4-GlcNAc transferase. These results altogether indicate that EXTL2/EXTR2 encodes the alpha1,4-N-acetylhexosaminyltransferase that transfers GalNAc/GlcNAc to the tetrasaccharide representing the common glycosaminoglycan-protein linkage region and that is most likely the critical enzyme that determines and initiates the heparin/heparan sulfate synthesis, separating it from the chondroitin sulfate/dermatan sulfate synthesis."
10347028,"Monooxygenase-mediated 1,2-dichloroethane degradation by Pseudomonas sp. strain DCA1.",10.1128/AEM.65.6.2466-2470.1999,"A bacterial strain, designated Pseudomonas sp. strain DCA1, was isolated from a 1,2-dichloroethane (DCA)-degrading biofilm. Strain DCA1 utilizes DCA as the sole carbon and energy source and does not require additional organic nutrients, such as vitamins, for optimal growth. The affinity of strain DCA1 for DCA is very high, with a Km value below the detection limit of 0.5 microM. Instead of a hydrolytic dehalogenation, as in other DCA utilizers, the first step in DCA degradation in strain DCA1 is an oxidation reaction. Oxygen and NAD(P)H are required for this initial step. Propene was converted to 1,2-epoxypropane by DCA-grown cells and competitively inhibited DCA degradation. We concluded that a monooxygenase is responsible for the first step in DCA degradation in strain DCA1. Oxidation of DCA probably results in the formation of the unstable intermediate 1,2-dichloroethanol, which spontaneously releases chloride, yielding chloroacetaldehyde. The DCA degradation pathway in strain DCA1 proceeds from chloroacetaldehyde via chloroacetic acid and presumably glycolic acid, which is similar to degradation routes observed in other DCA-utilizing bacteria."
10350056,The acceptor substrate specificity of human beta4-galactosyltransferase V indicates its potential function in O-glycosylation.,10.1016/s0014-5793(99)00462-7,"In order to assess the function of the different human UDP-Gal:GlcNAc beta4-galactosyltransferases, the cDNAs of two of them, beta4-GalT I and beta4-GalT V, were expressed in the baculovirus/insect cell expression system. The soluble recombinant enzymes produced were purified from the medium and used to determine their in vitro substrate specificities. The specific activity of the recombinant beta4-GalT V was more than 15 times lower than that of beta4-GalT I, using GlcNAc beta-S-pNP as an acceptor. Whereas beta4-GalT I efficiently acts on all substrates having a terminal beta-linked GlcNAc, beta4-GalT V appeared to be far more restricted in acceptor usage. Beta4-GalT V acts with high preference on acceptors that contain the GlcNAc beta1-->6GalNAc structural element, as found in O-linked core 2-, 4- and 6-based glycans, but not on substrates related to V-linked or blood group I-active oligosaccharides. These results suggest that beta4-GalT V may function in the synthesis of lacNAc units on O-linked chains, particularly in tissues which do not express beta4-GalT I, such as brain."
