Map,Name,Description,Class,Subclass,PMIDS
map00030,Pentose phosphate pathway,"The pentose phosphate pathway is a process of glucose turnover that produces NADPH as reducing equivalents and pentoses as essential parts of nucleotides. There are two different phases in the pathway. One is irreversible oxidative phase in which glucose-6P is converted to ribulose-5P by oxidative decarboxylation, and NADPH is generated [MD:M00006]. The other is reversible non-oxidative phase in which phosphorylated sugars are interconverted to generate xylulose-5P, ribulose-5P, and ribose-5P [MD:M00007]. Phosphoribosyl pyrophosphate (PRPP) formed from ribose-5P [MD:M00005] is an activated compound used in the biosynthesis of histidine and purine/pyrimidine nucleotides. This pathway map also shows the Entner-Doudoroff pathway where 6-P-gluconate is dehydrated and then cleaved into pyruvate and glyceraldehyde-3P [MD:M00008].",Metabolism, Carbohydrate metabolism,"['12700258', '16428816', '16458304', '16788179', '20023024', '23279921']"
map00040,Pentose and glucuronate interconversions,,Metabolism, Carbohydrate metabolism,"['10572115', '10913097', '11741871', '15697206', '15901685']"
map00053,Ascorbate and aldarate metabolism,,Metabolism, Carbohydrate metabolism,"['10517845', '12644495', '14996803', '15564123', '16595667', '17222174', '17462988']"
map00061,Fatty acid biosynthesis,,Metabolism, Lipid metabolism,"['11337402', '12061798', '12518017', '17573542', '19686777', '25203508', '27553474', '30201289']"
map00062,Fatty acid elongation,,Metabolism, Lipid metabolism,"['16564093', '16765910', '16866954', '17719534', '19649180', '4387390', '7150615', '8190743']"
map00071,Fatty acid degradation,,Metabolism, Lipid metabolism,['869535']
map00073,"Cutin, suberine and wax biosynthesis",,Metabolism, Lipid metabolism,"['16404574', '16866954', '17323080', '18440267', '18621978', '19344744', '19649180']"
map00100,Steroid biosynthesis,,Metabolism, Lipid metabolism,"['12777052', '16531502']"
map00120,Primary bile acid biosynthesis,"Bile acids are steroid carboxylic acids derived from cholesterol in vertebrates. The primary bile acids, cholic acid and chenodeoxycholic acid, are synthesized in the liver and conjugated with taurine or glycine before secretion via bile into the intestine. The conversion from cholesterol to cholic and chenodeoxycholic acids involves four steps: 1) the initiation of synthesis by 7alpha-hydroxylation of sterol precursors, 2) further modifications to the ring structures, 3) side-chain oxidation and shortening (cleavage) by three carbons, and 4) conjugation of the bile acid with taurine or glycine.",Metabolism, Lipid metabolism,"['10198776', '11067870', '12543708', '16299351', '17346171', '18081658', '18488143', '9292932']"
map00121,Secondary bile acid biosynthesis,"The secondary bile acids are derived from the primary bile acids by the enzymatic action of intestinal bacteria through the process of deconjugation and dehydroxylation. The secondary bile acids in humans include deoxycholic acid and lithocholic acid, formed from the 7alpha-dehydroxylation of cholic acid and chenodeoxycholic acid, respectively.",Metabolism, Lipid metabolism,"['16061950', '16299351', '18047844', '18488143', '19464381']"
map00140,Steroid hormone biosynthesis,"Steroid hormones derived from cholesterol are a class of biologically active compounds in vertebrates. The cholesterol side-chain cleavage enzyme CYP11A1 catalyzes conversion of cholesterol, a C27 compound, to the first C21 steroid, pregnenolone, which is converted by a bifunctional enzyme complex to the gestagen hormone, progesterone [MD:M00107]. Pregnenolone and progesterone are the starting materials for the three groups of steroids: C21 steroids of glucocorticoids and mineralocorticoids, C19 steroids of androgens, and C18 steroids of estrogens. (i) Progesterone is converted by hydroxylations at carbons 21 and 11 to corticosterone, which is further modified by hydroxylation and oxydoreduction at carbon 18 to yield aldosterone, a mineralcorticoid [MD:M00108]. Cortisol, the main glucocorticoid, is formed from 17alpha-hydroxyprogesterone with 11-deoxycortisol as an intermediate [MD:M00109]. (ii) Male hormone testosterone is formed from pregnenolone by two pathways, delta5 pathway via dehydroepiandrosterone and delta4 pathway via androstenedione [MD:M00110]. The enzyme CYP17A1 is responsible for the 17,20 lyase and 17alpha-hydroxylase activities in respective pathways. (iii) Female hormones estrone and estradiol are formed from testosterone and 4-androstene-3,17-dione by oxidative removal of the C19 methyl group and subsequent aromatization of ring A. In addition to these three groups, recent studies show that there is another group, termed neurosteroids, synthesized in the brain rather than the peripheral endocrine gland.",Metabolism, Lipid metabolism,"['10998348', '11469811', '12604236', '12832414', '15642792', '16413106', '16547389', '17459698', '17475203', '17926129']"
map00190,Oxidative phosphorylation,,Metabolism, Energy metabolism,"['16469879', '16584177']"
map00195,Photosynthesis,"Photosynthesis in green plants and specialized bacteria is the process of utilizing light energy to synthesize organic compounds from carbon dioxide and water. It consists of the light dependent part (light reaction) and the light independent part (dark reaction, carbon fixation). The light reaction takes place in thylakoid, a membrane-bound compartment inside chloroplasts and cyanobacteria. The light energy is used by photosystems I and II to generate proton motive force and reducing power (NADPH or NADH). The proton motive force is used by ATP synthase to generate ATP, essentially in the same way as the mitochondrial respiratory chain. The supplies of ATP and NAD(P)H are then used to fix carbon dioxide.",Metabolism, Energy metabolism,"['11217865', '11369223', '11418848', '11914373', '12518057', '14764885']"
map00196,Photosynthesis - antenna proteins,"The chlorophyll-binding subunits of photosystems I and II are internal antenna light-harvesting proteins of oxygenic photosynthesis. The antenna proteins that exist in phycobilisomes in cyanobacteria and light-harvesting chlorophyll protein complexes in green plants act as peripheral antenna systems, enabling more efficient absorption of light energy.",Metabolism, Energy metabolism,"['10625426', '14668855', '15955818', '15994896', '16098971', '16401064']"
map00230,Purine metabolism,,Metabolism, Nucleotide metabolism,"['10601204', '10986234']"
map00232,Caffeine metabolism,,Metabolism, Biosynthesis of other secondary metabolites,"['11393735', '11544129', '14977550', '16333668', '9705852']"
map00250,"Alanine, aspartate and glutamate metabolism",,Metabolism, Amino acid metabolism,['9687539']
map00254,Aflatoxin biosynthesis,,Metabolism, Biosynthesis of other secondary metabolites,"['15022028', '15932995', '19211038', '20332208', '22069531', '23202305']"
map00260,"Glycine, serine and threonine metabolism","Serine is derived from 3-phospho-D-glycerate, an intermediate of glycolysis [MD:M00020], and glycine is derived from serine. Threonine is an essential amino acid, which animals cannot synthesize. In bacteria and plants, threonine is derived from aspartate [MD:M00018].",Metabolism, Amino acid metabolism,"['10473374', '11341914', '11823218', '15470257', '15520012', '16707670', '17636255', '7639721']"
map00290,"Valine, leucine and isoleucine biosynthesis",,Metabolism, Amino acid metabolism,['15292141']
map00330,Arginine and proline metabolism,,Metabolism, Amino acid metabolism,"['15590624', '16499623', '5288244']"
map00331,Clavulanic acid biosynthesis,,Metabolism, Biosynthesis of other secondary metabolites,"['14623876', '9614345']"
map00333,Prodigiosin biosynthesis,"Prodiginines are red-pigmented natural antibiotics that are produced as secondary metabolites and have received renewed attention because of potential clinical interests. In Serratia sp. or actinomycetes such as Streptomyces coelicolor, the tripyrrole molecules of prodigiosin and undecylprodigiosin are formed by the condensation of 4-methoxy-2,2'-bipyrrole-5-carbaldehyde and either 2-methyl-3-n-amyl-pyrrole [MD:M00837] or 2-undecylpyrrole [MD:M00838]. The Serratia pig gene cluster and the Streptomyces red gene cluster responsible for these biosynthesis pathways have been identified.",Metabolism, Biosynthesis of other secondary metabolites,"['11514230', '15528645', '15853884', '17109029']"
map00350,Tyrosine metabolism,,Metabolism, Amino acid metabolism,"['11171088', '1194238', '18435614', '8550403']"
map00360,Phenylalanine metabolism,,Metabolism, Amino acid metabolism,"['10537203', '19016485', '20660314', '9603882', '9098055']"
map00364,Fluorobenzoate degradation,,Metabolism, Xenobiotics biodegradation and metabolism,"['12957954', '1610174', '16345496', '16980423', '18355280']"
map00365,Furfural degradation,,Metabolism, Xenobiotics biodegradation and metabolism,"['20194784', '22031465']"
map00380,Tryptophan metabolism,,Metabolism, Amino acid metabolism,['15749753']
map00401,Novobiocin biosynthesis,,Metabolism, Biosynthesis of other secondary metabolites,"['11325587', '12368465', '12436260', '12480894', '12618544', '12777382', '12904558', '14622269', '14694473']"
map00402,Benzoxazinoid biosynthesis,"Benzoxazinoids (hydroxamic acids) are plant secondary metabolites that serve as important factors for host resistance against microbial pathogens and insects and for allelopathic effects. They are found in grass family and some eudicot families. The predominant benzoxazinoids are DIBOA and its 7-methoxy derivative DIMBOA, which are stored as glucosides in vacuoles. In maize, benzoxazinoid biosynthesis branches off from tryptophan biosynthesis at indole-3-glycerol phosphate, which is converted to indole by indole-3-glycerol phosphate lyase, BX1. Subsequently four cytochrome P450 monooxygenases (BX2-BX5) catalyze the introduction of four oxygen atoms into the indole moiety, yielding DIBOA. After glucosylation by UDP-glucosyltransferase (BX8/BX9), the glucoside is further modified by hydroxylation and O-methylation at C-7 to form DIMBOA-glucoside.",Metabolism, Biosynthesis of other secondary metabolites,"['11106389', '11556781', '11851909', '12620350', '16260753', '16666853', '18192444', '19577780', '9235894']"
