id,name,reactants,products,modifiers
rnR00678,"['L-tryptophan:oxygen 2,3-oxidoreductase (decyclizing)']","[['L-Tryptophan', 'Tryptophan', '(S)-alpha-Amino-beta-(3-indolyl)-propionic acid']]","[['L-Formylkynurenine', 'N-Formyl-L-kynurenine', 'N-Formylkynurenine']]","[['tryptophan 2,3-dioxygenase', 'tryptophan pyrrolase (ambiguous)', 'tryptophanase', 'tryptophan oxygenase', 'tryptamine 2,3-dioxygenase', 'tryptophan peroxidase', 'indoleamine 2,3-dioxygenase (ambiguous)', 'indolamine 2,3-dioxygenase (ambiguous)', 'L-tryptophan pyrrolase', 'TDO', 'L-tryptophan 2,3-dioxygenase', 'L-tryptophan:oxygen 2,3-oxidoreductase (decyclizing)'], ['indoleamine 2,3-dioxygenase', 'IDO (ambiguous)', 'tryptophan pyrrolase (ambiguous)', 'D-tryptophan:oxygen 2,3-oxidoreductase (decyclizing)']]"
rnR01974,['3-(indol-3-yl)pyruvate carboxy-lyase [(2-indol-3-yl)acetaldehyde-forming]'],"[['Indolepyruvate', 'Indolepyruvic acid', '(Indol-3-yl)pyruvate', 'Indole-3-pyruvate', '3-(Indol-3-yl)pyruvate']]","[['Indole-3-acetaldehyde', '2-(Indol-3-yl)acetaldehyde', 'Indoleacetaldehyde']]","[['indolepyruvate decarboxylase', 'indol-3-yl-pyruvate carboxy-lyase', '3-(indol-3-yl)pyruvate carboxy-lyase'], ['phenylpyruvate decarboxylase', 'phenylpyruvate carboxy-lyase', 'phenylpyruvate carboxy-lyase (phenylacetaldehyde-forming)']]"
rnR02700,['5-hydroxy-L-tryptophan:2-oxoglutarate aminotransferase'],"[['5-Hydroxy-L-tryptophan', 'Oxitriptan']]",[['5-Hydroxyindolepyruvate']],"[['tryptophan transaminase', 'L-phenylalanine-2-oxoglutarate aminotransferase', 'tryptophan aminotransferase', '5-hydroxytryptophan-ketoglutaric transaminase', 'hydroxytryptophan aminotransferase', 'L-tryptophan aminotransferase', 'L-tryptophan transaminase']]"
rnR00677,['L-tryptophan:oxygen oxidoreductase (deaminating)'],"[['L-Tryptophan', 'Tryptophan', '(S)-alpha-Amino-beta-(3-indolyl)-propionic acid']]","[['Indolepyruvate', 'Indolepyruvic acid', '(Indol-3-yl)pyruvate', 'Indole-3-pyruvate', '3-(Indol-3-yl)pyruvate']]","[['L-amino-acid oxidase', 'ophio-amino-acid oxidase (ambiguous)']]"
rnR03628,"['melatonin:oxygen 2,3-dioxygenase (indole-decyclizing)']","[['Melatonin', 'N-Acetyl-5-methoxytryptamine']]",[['Formyl-N-acetyl-5-methoxykynurenamine']],"[['indoleamine 2,3-dioxygenase', 'IDO (ambiguous)', 'tryptophan pyrrolase (ambiguous)', 'D-tryptophan:oxygen 2,3-oxidoreductase (decyclizing)']]"
rnR03629,"['melatonin,NADPH---hemoprotein reductase:oxygen oxidoreductase']","[['Melatonin', 'N-Acetyl-5-methoxytryptamine']]",[['6-Hydroxymelatonin']],"[['unspecific monooxygenase', 'microsomal monooxygenase', 'xenobiotic monooxygenase', 'aryl-4-monooxygenase', 'aryl hydrocarbon hydroxylase', 'microsomal P-450', 'flavoprotein-linked monooxygenase', 'flavoprotein monooxygenase', 'substrate,reduced-flavoprotein:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)']]"
rnR03130,['S-adenosyl-L-homocysteine:N-acetylserotonin O-methyltransferase'],"[['N-Acetylserotonin', 'N-Acetyl-5-hydroxytryptamine']]","[['Melatonin', 'N-Acetyl-5-methoxytryptamine']]","[['acetylserotonin O-methyltransferase', 'hydroxyindole methyltransferase', 'hydroxyindole O-methyltransferase', 'N-acetylserotonin O-methyltransferase', 'acetylserotonin methyltransferase']]"
rnR02911,['acetyl-CoA:aralkylamine N-acetyltransferase'],"[['Serotonin', '3-(2-Aminoethyl)-1H-indol-5-ol', '5-Hydroxytryptamine', 'Enteramine']]","[['N-Acetylserotonin', 'N-Acetyl-5-hydroxytryptamine']]","[['aralkylamine N-acetyltransferase', 'serotonin acetyltransferase', 'serotonin acetylase', 'arylalkylamine N-acetyltransferase', 'serotonin N-acetyltransferase', 'AANAT', 'melatonin rhythm enzyme']]"
rnR02909,"['5-hydroxytryptamine:oxygen 2,3-dioxygenase (indole-decyclizing)']","[['Serotonin', '3-(2-Aminoethyl)-1H-indol-5-ol', '5-Hydroxytryptamine', 'Enteramine']]",[['Formyl-5-hydroxykynurenamine']],"[['indoleamine 2,3-dioxygenase', 'IDO (ambiguous)', 'tryptophan pyrrolase (ambiguous)', 'D-tryptophan:oxygen 2,3-oxidoreductase (decyclizing)']]"
rnR04905,['S-adenosyl-L-methionine:N-acetylserotonin O-methyltransferase'],[['5-Hydroxyindoleacetate']],"[['5-Methoxyindoleacetate', '5-Methoxyindoleacetic acid']]","[['acetylserotonin O-methyltransferase', 'hydroxyindole methyltransferase', 'hydroxyindole O-methyltransferase', 'N-acetylserotonin O-methyltransferase', 'acetylserotonin methyltransferase']]"
