id,name,reactants,products,modifiers
rnR10089,"[""D-ribose 5-phosphate,D-glyceraldehyde 3-phosphate pyridoxal 5'-phosphate-lyase (glutamine-hydrolyzing)""]","[['L-Glutamine', 'L-2-Aminoglutaramic acid'], ['D-Glyceraldehyde 3-phosphate', '(2R)-2-Hydroxy-3-(phosphonooxy)-propanal', 'Glyceraldehyde 3-phosphate'], ['D-Ribose 5-phosphate', 'Ribose 5-phosphate']]","[['Pyridoxal phosphate', ""Pyridoxal 5'-phosphate"", 'Pyridoxal 5-phosphate', 'PLP']]","[[""pyridoxal 5'-phosphate synthase (glutamine hydrolysing)"", 'PdxST']]"
rnR05839,['pyridoxamine:2-oxoglutarate aminotransferase'],"[['Pyridoxamine', 'PM']]",[['Pyridoxal']],"[['pyridoxamine-phosphate transaminase', 'pyridoxamine phosphate aminotransferase', ""pyridoxamine 5'-phosphate-alpha-ketoglutarate transaminase"", ""pyridoxamine 5'-phosphate transaminase""]]"
rnR05838,"[""pyridoxine 5'-phosphate synthase""]","[['3-Amino-2-oxopropyl phosphate', '1-Amino-3-(phosphohydroxy)propan-2-one']]","[['Pyridoxine phosphate', ""Pyridoxine 5'-phosphate"", 'Pyridoxine 5-phosphate', ""Pyridoxol 5'-phosphate""]]","[[""pyridoxine 5'-phosphate synthase"", 'pyridoxine 5-phosphate phospho lyase', 'PNP synthase', 'PdxJ']]"
rnR05681,['NAD-dependent threonine 4-phosphate dehydrogenase'],"[['O-Phospho-4-hydroxy-L-threonine', '4-(Phosphonooxy)-threonine', '4-(Phosphonooxy)-L-threonine', '4-Phosphooxy-L-threonine']]","[['2-Amino-3-oxo-4-phosphonooxybutyrate', 'L-2-Amino-3-oxo-4-phosphonooxybutyrate', '(2S)-2-Amino-3-oxo-4-phosphonooxybutanoate']]","[['4-hydroxythreonine-4-phosphate dehydrogenase', 'NAD+-dependent threonine 4-phosphate dehydrogenase', 'L-threonine 4-phosphate dehydrogenase', '4-(phosphohydroxy)-L-threonine dehydrogenase', 'PdxA', '4-(phosphonooxy)-L-threonine:NAD+ oxidoreductase', '4-phosphooxy-L-threonine:NAD+ oxidoreductase']]"
rnR05086,['O-phospho-4-hydroxy-L-threonine phospho-lyase (adding water)'],"[['O-Phospho-4-hydroxy-L-threonine', '4-(Phosphonooxy)-threonine', '4-(Phosphonooxy)-L-threonine', '4-Phosphooxy-L-threonine']]","[['4-Hydroxy-L-threonine', 'Hydroxythreonine']]","[['threonine synthase', 'threonine synthetase', 'O-phospho-L-homoserine phospho-lyase (adding water)']]"
rnR05085,['O-phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase'],"[['O-Phospho-4-hydroxy-L-threonine', '4-(Phosphonooxy)-threonine', '4-(Phosphonooxy)-L-threonine', '4-Phosphooxy-L-threonine']]","[['2-Oxo-3-hydroxy-4-phosphobutanoate', 'alpha-Keto-3-hydroxy-4-phosphobutyrate', '(3R)-3-Hydroxy-2-oxo-4-phosphonooxybutanoate', '(3R)-3-Hydroxy-2-oxo-4-phosphooxybutanoate']]","[['phosphoserine transaminase', 'PSAT', 'phosphoserine aminotransferase', '3-phosphoserine aminotransferase', 'hydroxypyruvic phosphate-glutamic transaminase', 'L-phosphoserine aminotransferase', 'phosphohydroxypyruvate transaminase', 'phosphohydroxypyruvic-glutamic transaminase', '3-O-phospho-L-serine:2-oxoglutarate aminotransferase', 'SerC', 'PdxC', '3PHP transaminase']]"
rnR04210,['4-phospho-D-erythronate:NAD+ 2-oxidoreductase'],"[['4-Phospho-D-erythronate', '4-Phosphoerythronate']]","[['2-Oxo-3-hydroxy-4-phosphobutanoate', 'alpha-Keto-3-hydroxy-4-phosphobutyrate', '(3R)-3-Hydroxy-2-oxo-4-phosphonooxybutanoate', '(3R)-3-Hydroxy-2-oxo-4-phosphooxybutanoate']]","[['4-phosphoerythronate dehydrogenase', 'PdxB', 'PdxB 4PE dehydrogenase', '4-O-phosphoerythronate dehydrogenase', '4PE dehydrogenase', 'erythronate-4-phosphate dehydrogenase']]"
rnR01825,['D-erythrose 4-phosphate:NAD+ oxidoreductase'],[['D-Erythrose 4-phosphate']],"[['4-Phospho-D-erythronate', '4-Phosphoerythronate']]","[['erythrose-4-phosphate dehydrogenase', 'erythrose 4-phosphate dehydrogenase', 'E4PDH', 'GapB', 'Epd dehydrogenase', 'E4P dehydrogenase']]"
rnR04570,"['5-pyridoxate,NADPH:oxygen oxidoreductase (ring-opening)']","[['3-Hydroxy-4-hydroxymethyl-2-methylpyridine-5-carboxylate', '5-Pyridoxate', '5-Pyridoxic acid']]","[['2-(Hydroxymethyl)-3-(acetamidomethylene)succinate', '2-(Acetamidomethylene)-3-(hydroxymethyl)succinate']]","[['5-pyridoxate monooxygenase', '5-pyridoxate,NADPH:oxygen oxidoreductase (decyclizing)', '5-pyridoxate oxidase (misleading)', '5-pyridoxate dioxygenase (incorrect)']]"
rnR01910,['primary alcohol:(acceptor) oxidoreductase'],"[['Pyridoxine', 'Pyridoxol']]",[['Isopyridoxal']],"[['pyridoxine 5-dehydrogenase', 'pyridoxal-5-dehydrogenase', 'pyridoxol 5-dehydrogenase', 'pyridoxin 5-dehydrogenase', 'pyridoxine dehydrogenase', ""pyridoxine 5'-dehydrogenase"", 'pyridoxine:(acceptor) 5-oxidoreductase']]"
