id,name,reactants,products,modifiers
rnR08121,['4-fluoromuconolactone lactonohydrolase'],[['4-Fluoromuconolactone']],"[['2-Maleylacetate', '4-Oxohex-2-enedioate', 'Maleylacetate']]","[['E3.1.1.45', 'carboxymethylenebutenolidase']]"
rnR08120,['5-fluoromuconolactone lactonohydrolase'],[['5-Fluoromuconolactone']],"[['2-Maleylacetate', '4-Oxohex-2-enedioate', 'Maleylacetate']]","[['E3.1.1.45', 'carboxymethylenebutenolidase']]"
rnR08114,"['3-fluorocatechol:oxygen 1,2-oxidoreductase']",[['3-Fluorocatechol']],"[['2-Fluoro-cis,cis-muconate']]","[['catA', 'catechol 1,2-dioxygenase']]"
rnR08109,"['3-fluorobenzoate,NADH:oxygen oxidoreductase (1,2-hydroxylating)']","[['3-Fluorobenzoate', '3-Fluorobenzoic acid']]","[['5-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate']]","[['benA-xylX', 'benzoate/toluate 1,2-dioxygenase subunit alpha']]"
rnR08110,"['4-fluorobenzoate,NADH:oxygen oxidoreductase (1,2-hydroxylating)']","[['4-Fluorobenzoate', '4-Fluorobenzoic acid']]","[['4-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate']]","[['benA-xylX', 'benzoate/toluate 1,2-dioxygenase subunit alpha']]"
rnR08113,"['4-fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate:NAD+oxidoreductase (decarboxylating)']","[['4-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate']]",[['4-Fluorocatechol']],"[['benD-xylL', 'dihydroxycyclohexadiene carboxylate dehydrogenase']]"
rnR08100,"['2-fluorobenzoate,NADH:oxygen oxidoreductase (1,2-hydroxylating)']","[['2-Fluorobenzoate', '2-Fluorobenzoic acid']]","[['2-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate']]","[['benA-xylX', 'benzoate/toluate 1,2-dioxygenase subunit alpha']]"
rnR08117,['4-fluorobenzoate:CoA ligase'],"[['4-Fluorobenzoate', '4-Fluorobenzoic acid']]",[['4-Fluorobenzoyl-CoA']],"[['fcbA', '4-chlorobenzoate-CoA ligase']]"
rnR08101,"['2-fluorobenzoate,NADH:oxygen oxidoreductase (1,2-hydroxylating)']","[['2-Fluorobenzoate', '2-Fluorobenzoic acid']]","[['6-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate']]","[['benA-xylX', 'benzoate/toluate 1,2-dioxygenase subunit alpha']]"
rnR08116,['4-fluoromuconolactone lyase (decyclizing)'],"[['3-Fluoro-cis,cis-muconate']]",[['4-Fluoromuconolactone']],"[['catB', 'muconate cycloisomerase']]"
rnR08111,"['3-fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate:NAD+oxidoreductase (decarboxylating)']","[['3-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate']]",[['3-Fluorocatechol']],"[['benD-xylL', 'dihydroxycyclohexadiene carboxylate dehydrogenase']]"
rnR08119,['5-fluoromuconolactone lyase (decyclizing)'],"[['2-Fluoro-cis,cis-muconate']]",[['5-Fluoromuconolactone']],"[['E5.5.1.7', 'chloromuconate cycloisomerase']]"
rnR08112,"['5-fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate:NAD+oxidoreductase (decarboxylating)']","[['5-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate']]",[['4-Fluorocatechol']],"[['benD-xylL', 'dihydroxycyclohexadiene carboxylate dehydrogenase']]"
rnR08115,"['4-fluorocatechol:oxygen 1,2-oxidoreductase']",[['4-Fluorocatechol']],"[['3-Fluoro-cis,cis-muconate']]","[['catA', 'catechol 1,2-dioxygenase']]"
rnR08108,"['3-fluorobenzoate,NADH:oxygen oxidoreductase (1,2-hydroxylating)']","[['3-Fluorobenzoate', '3-Fluorobenzoic acid']]","[['3-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate']]","[['benA-xylX', 'benzoate/toluate 1,2-dioxygenase subunit alpha']]"
rnR04101,['4-chlorobenzoyl CoA chlorohydrolase'],[['4-Chlorobenzoyl-CoA']],[['4-Hydroxybenzoyl-CoA']],"[['fcbB', '4-chlorobenzoyl-CoA dehalogenase']]"
rnR08118,['4-fluorobenzoyl CoA fluorohydrolase'],[['4-Fluorobenzoyl-CoA']],[['4-Hydroxybenzoyl-CoA']],"[['fcbB', '4-chlorobenzoyl-CoA dehalogenase']]"
rnR03932,['4-chlorobenzoate:CoA ligase'],"[['4-Chlorobenzoate', '4-Chlorobenzoic acid']]",[['4-Chlorobenzoyl-CoA']],"[['fcbA', '4-chlorobenzoate-CoA ligase']]"
rnR07779,"['bromoxynil,NADPH:oxygen oxidoreductase']","[['Bromoxynil', '3,5-Dibromo-4-hydroxybenzonitrile']]","[['2,6-Dibromohydroquinone']]","[['pcpB', 'pentachlorophenol monooxygenase']]"
rnR07781,['2-maleylacetate:NAD+ oxidoreductase'],[['2-Bromomaleylacetate']],"[['2-Maleylacetate', '4-Oxohex-2-enedioate', 'Maleylacetate']]","[['E1.3.1.32', 'maleylacetate reductase']]"
