id,name
R00001,['polyphosphate polyphosphohydrolase']
R00002,['reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)']
R00004,"['diphosphate phosphohydrolase', 'pyrophosphate phosphohydrolase']"
R00005,['urea-1-carboxylate amidohydrolase']
R00006,"['pyruvate:pyruvate acetaldehydetransferase (decarboxylating)', '2-acetolactate pyruvate-lyase (carboxylating)']"
R00008,['4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)']
R00009,['hydrogen-peroxide:hydrogen-peroxide oxidoreductase']
R00010,"['alpha,alpha-trehalose glucohydrolase']"
R00011,['Mn(II):hydrogen-peroxide oxidoreductase']
R00012,['GTP:GTP guanylyltransferase']
R00013,"['glyoxylate carboxy-lyase (dimerizing', 'tartronate-semialdehyde-forming)']"
R00014,['pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)']
R00015,"[""sucrose:sucrose 1'-beta-D-fructosyltransferase"", 'sucrose:sucrose 1F-beta-D-fructosyltransferase']"
R00017,['ferrocytochrome-c:hydrogen-peroxide oxidoreductase']
R00018,['putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)']
R00019,"['hydrogen:ferredoxin oxidoreductase', 'reduced ferredoxin:H+ oxidoreductase']"
R00021,['L-glutamate:ferredoxin oxidoreductase (transaminating)']
R00022,['chitobiose N-acetylglucosaminohydrolase']
R00023,"['hydroxylamine:NAD+ oxidoreductase', 'NADH:hyponitrite oxidoreductase']"
R00024,"['3-phospho-D-glycerate carboxy-lyase (dimerizing', 'D-ribulose-1,5-bisphosphate-forming)']"
R00025,['ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming)']
R00026,['cellobiose glucohydrolase']
R00027,"['2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)']"
R00028,['maltose glucohydrolase']
R00029,['thiosulfate:ferricytochrome-c oxidoreductase']
R00031,"['1,2-benzenediol:oxygen oxidoreductase']"
R00032,"[""beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)""]"
R00033,['thiamine:oxygen 5-oxidoreductase']
R00034,['cyclobutadipyrimidine (in DNA) pyrimidine-lyase']
R00036,"['5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing', 'porphobilinogen-forming)']"
R00038,['4-hydroxy-3-hexanone propanal-lyase (propanal-forming)']
R00039,['raffinose:raffinose 1F-alpha-D-galactosyltransferase']
R00041,['long-chain-alcohol:oxygen oxidoreductase']
R00042,['4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)']
R00043,"['1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)']"
R00044,['columbamine:oxygen oxidoreductase (cyclizing)']
R00045,"['3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase']"
R00047,"['6-hydroxynicotinate,hydrogen-donor:oxygen oxidoreductase (3-hydroxylating, decarboxylating)']"
R00048,['(R)-3-((R)-3-hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase']
R00049,['1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase']
R00052,['chloride:hydrogen-peroxide oxidoreductase']
R00053,"['digallate acylhydrolase', 'tannin acylhydrolase']"
R00054,['orsellinate-depside hydrolase']
R00055,"[""inosine:oxygen 5'-oxidoreductase""]"
R00056,['dinucleotide nucleotidohydrolase']
R00057,['thiol:oxygen oxidoreductase']
R00058,"['catechol:oxygen oxidoreductase', '1,2-benzenediol:oxygen oxidoreductase']"
R00059,['N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase']
R00060,"['sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)']"
R00061,"['sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)']"
R00062,['bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase']
R00063,"['1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase', '1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4-hydroxy-3,5-dimethoxycinnamoyl-beta-D-glucoside 1-O-sinapoyltransferase']"
R00066,"['6,7-dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase']"
R00067,['reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)']
R00068,['L-ascorbate:oxygen oxidoreductase']
R00069,['4-imidazolone-5-propanoate:oxygen oxidoreductase']
R00070,['D-urobilinogen:oxygen oxidoreductase']
R00072,['thiamine-aldehyde:oxygen 5-oxidoreductase']
R00073,['reduced acceptor:prostaglandin G2 oxidoreductase']
R00074,['2-aminophenol:oxygen oxidoreductase (dimerizing)']
R00075,['S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase']
R00076,"['ATP:phosphorylase-b phosphotransferase', 'ATP:[glycogen phosphorylase] phosphotransferase']"
R00077,"['[phosphorylase a] phosphohydrolase', '[glycogen phosphorylase] phosphohydrolase']"
R00078,"['Fe(II):oxygen oxidoreductase', 'Fe2+:oxygen oxidoreductase']"
R00080,['catechol:oxygen oxidoreductase (dimerizing)']
R00081,['ferrocytochrome-c:oxygen oxidoreductase']
R00082,['ferrocytochrome c2:oxygen oxidoreductase']
R00083,['benzenediol:oxygen oxidoreductase']
R00084,"['porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)', 'porphobilinogen ammonia-lyase (polymerizing)']"
R00085,['ATP diphosphohydrolase (phosphate-forming)']
R00086,['ATP phosphohydrolase']
R00087,"['ATP diphosphohydrolase (diphosphate-forming)', 'ATP pyrophosphohydrolase']"
R00088,['ATP aminohydrolase']
R00089,"['ATP diphosphate-lyase (cyclizing', ""3',5'-cyclic-AMP-forming)""]"
R00090,['NADH:hydrogen-peroxide oxidoreductase']
R00091,['CoA:NAD+ oxidoreductase']
R00092,"['Fe2+:NAD+ oxidoreductase', 'NADH:Fe3+ oxidoreductase']"
R00093,['L-glutamate:NAD+ oxidoreductase (transaminating)']
R00094,['glutathione:NAD+ oxidoreductase']
R00095,['NADH:monodehydroascorbate oxidoreductase']
R00097,[]
R00099,[]
R00100,['NADH:ferricytochrome-b5 oxidoreductase']
R00101,['NADH:ferrileghemoglobin oxidoreductase']
R00102,['NAD+ glycohydrolase']
R00103,['NAD+ phosphohydrolase']
R00104,"[""ATP:NAD+ 2'-phosphotransferase""]"
R00105,"[""ATP:NADH 2'-phosphotransferase""]"
R00106,['NADPH:ferricytochrome oxidoreductase']
R00108,['NADPH:ferricytochrome-c2 oxidoreductase']
R00109,['NADPH:ferrileghemoglobin oxidoreductase']
R00111,"['N-(omega)-hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)']"
R00112,['NADPH:NAD+ oxidoreductase']
R00113,['NADPH:hydrogen-peroxide oxidoreductase']
R00114,['L-glutamate:NADP+ oxidoreductase (transaminating)']
R00115,['glutathione:NADP+ oxidoreductase']
R00118,"[""NADP+ 2'-phosphohydrolase""]"
R00119,['NADP+:nicotinate ADP-ribosyltransferase']
R00120,['glutathione:oxygen oxidoreductase']
R00122,['ADP phosphohydrolase']
R00123,['ADP aminohydrolase']
R00124,['ATP:ADP phosphatransferase']
R00125,"[""P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase""]"
R00126,['ADP:ATP adenylyltransferase']
R00127,['ATP:AMP phosphotransferase']
R00128,['adenosine-tetraphosphate phosphohydrolase']
R00129,"['(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide hydro-lyase (ATP-hydrolysing, NADH-forming)']"
R00130,"[""ATP:dephospho-CoA 3'-phosphotransferase""]"
R00131,['urea amidohydrolase']
R00132,"['carbonate hydro-lyase (carbon-dioxide-forming)', 'carbonic acid hydro-lyase']"
R00134,['formate:NADP+ oxidoreductase']
R00135,[]
R00137,['ATP:nicotinamide-nucleotide adenylyltransferase']
R00138,['triphosphate phosphohydrolase']
R00139,"[""ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase""]"
R00140,['ATP:5-hydroxymethyldeoxycytidylate phosphotransferase']
R00141,['ATP:ammonia phosphotransferase']
R00143,"['ammonia:NAD+ oxidoreductase', 'NADH:hydroxylamine oxidoreductase']"
R00145,['alpha-amino acid:NAD+ oxidoreductase (deaminating)']
R00146,['alpha-amino acid:NADP+ oxidoreductase (deaminating)']
R00148,"['ammonia,ubiquinol:oxygen oxidoreductase', 'ammonia monooxygenase']"
R00149,"['carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)']"
R00150,['ATP:carbamate phosphotransferase']
R00152,['hydrogen cyanide aminohydrolase']
R00153,['reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)']
R00155,['UDP phosphohydrolase']
R00156,['ATP:UDP phosphotransferase']
R00157,"['uridine triphosphate:AMP phosphotransferase', 'UTP:AMP phosphotransferase']"
R00158,['ATP:UMP phosphotransferase']
R00159,['UTP phosphohydrolase']
R00160,['FAD nucleotidohydrolase']
R00161,['ATP:FMN adenylyltransferase']
R00162,"['ATP:protein phosphotransferase', 'ATP:protein phosphotransferase (Ca2+/calmodulin-dependent)']"
R00164,['phosphoprotein phosphohydrolase']
R00165,[]
R00166,[]
R00167,[]
R00168,[]
R00169,[]
R00170,[]
R00172,[]
R00173,"[""pyridoxal-5'-phosphate phosphohydrolase""]"
R00174,"[""ATP:pyridoxal 5'-phosphotransferase""]"
